Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
266,0x563ec8e021bc,R,0x7ffeac767368,16,45903938764832,0,45903938764840,0,0,0,-45903938764864,-32,-32,-45904133759896,-48
268,0x563ec8e021c0,W,0x563ed47fb328,-45903938764864,-32,-45903938764848,-24,-45903938764832,-45903938764864,45903938764864,45903938764848,45903938764832,45903938764832,-194995032,45903938764864
271,0x563ec8e021ce,R,0x7ffeac767368,0,45903938764864,16,45903938764840,0,0,-32,-16,-32,-48,0,0
273,0x563ec8e021d2,W,0x7ffeac767358,-16,45903938764848,0,45903938764816,0,-16,-16,-16,-45904133759880,-32,16,-45903938764792
275,0x563ec8e021d6,R,0x7ffeac767348,-32,-16,-32,45903938764800,-16,45903938764808,0,0,-45904133759864,32,0,-45903938764776
276,0x563ec8e021d6,W,0x7ffeac767348,0,-16,-32,45903938764832,-16,45903938764808,0,-16,32,32,0,-45903938764768
278,0x563ec8e021da,R,0x7ffeac767348,0,0,-32,45903938764832,-16,45903938764800,-45904133759864,-16,32,-45903938764776,32,-45903938764768
282,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-48,-32,-48,45903938764784,-45904133759848,48,16,-45903938764760,48,-45903938764784
285,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133759864,-45904133759880,-45904133759896,-194995032,45904133759896,45904133759896,45904133759864,194995096,45904133759880,194995064
287,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,32,32,0,45903938764864,0,-45903938764808,0,-45903938764800,-16,-45903938764832
289,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,0,16,-32,-45903938764808,-16,-45903938764800,-16,-16
291,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,0,-16,32,-45903938764776,16,-45903938764800,32,16
293,0x563ec8e021a3,W,0x563ed47fb360,-45903938764776,-45903938764808,194995088,-45903938764760,-45903938764776,-45903938764776,45903938764808,8,45903938764792,-24,45903938764808,45903938764776
